CÓDIGOS,TÍTULOS CONTÁBEIS,ATRIBUTOS,E,conta
1.3.6.15.99.10-1,Saldo Contábil Bruto,,-,1361599101
1.3.6.15.99.40-0,(-) Perda Incorrida Associada ao Risco de Crédito,,-,1361599400
1.3.6.15.99.60-6,(-) Perda Esperada Associada ao Risco de Crédito,,-,1361599606
1.3.6.15.99.70-9,(+/-) Ajuste de Hedge de Valor Justo,,-,1361599709
1.3.6.15.99.80-2,(+/-) Ajuste a Valor Justo,,-,1361599802
1.3.6.16.00.00-7,TÍTULOS DADOS EM GARANTIA EM ARRANJO DE PAGAMENTO,,130,1361600007
1.3.6.16.10.00-4,Títulos Públicos Federais,,-,1361610004
1.3.6.16.10.10-7,Saldo Contábil Bruto,,-,1361610107
1.3.6.16.10.40-6,(-) Perda Incorrida Associada ao Risco de Crédito,,-,1361610406
1.3.6.16.10.70-5,(+/-) Ajuste de Hedge de Valor Justo,,-,1361610705
1.3.6.16.10.80-8,(+/-) Ajuste a Valor Justo,,-,1361610808
1.3.6.16.31.00-7,Títulos Privados - Renda Fixa,,-,1361631007
1.3.6.16.31.10-0,Saldo Contábil Bruto,,-,1361631100
1.3.6.16.31.40-9,(-) Perda Incorrida Associada ao Risco de Crédito,,-,1361631409
1.3.6.16.31.60-5,(-) Perda Esperada Associada ao Risco de Crédito,,-,1361631605
1.3.6.16.31.70-8,(+/-) Ajuste de Hedge de Valor Justo,,-,1361631708
1.3.6.16.31.80-1,(+/-) Ajuste a Valor Justo,,-,1361631801
1.3.6.16.80.00-3,Títulos de Renda Variável,,-,1361680003
1.3.6.16.99.00-1,Outros,,-,1361699001
1.3.6.16.99.10-4,Saldo Contábil Bruto,,-,1361699104
1.3.6.16.99.40-3,(-) Perda Incorrida Associada ao Risco de Crédito,,-,1361699403
1.3.6.16.99.60-9,(-) Perda Esperada Associada ao Risco de Crédito,,-,1361699609
1.3.6.16.99.70-2,(+/-) Ajuste de Hedge de Valor Justo,,-,1361699702
1.3.6.16.99.80-5,(+/-) Ajuste a Valor Justo,,-,1361699805
1.3.6.17.00.00-0,TÍTULOS - CARTEIRAS DE ATIVOS - LIG,,130,1361700000
1.3.6.17.10.00-7,Títulos Públicos Federais,,-,1361710007
1.3.6.17.10.10-0,Saldo Contábil Bruto,,-,1361710100
1.3.6.17.10.40-9,(-) Perda Incorrida Associada ao Risco de Crédito,,-,1361710409
1.3.6.17.10.70-8,(+/-) Ajuste de Hedge de Valor Justo,,-,1361710708
1.3.6.17.10.80-1,(+/-) Ajuste a Valor Justo,,-,1361710801
1.3.6.20.00.00-8,TÍTULOS DADOS EM GARANTIA - OUTROS,,130,1362000008
1.3.6.20.01.00-7,Títulos Públicos Federais,,-,1362001007
1.3.6.20.01.10-0,Saldo Contábil Bruto,,-,1362001100
1.3.6.20.01.40-9,(-) Perda Incorrida Associada ao Risco de Crédito,,-,1362001409
1.3.6.20.01.70-8,(+/-) Ajuste de Hedge de Valor Justo,,-,1362001708
1.3.6.20.01.80-1,(+/-) Ajuste a Valor Justo,,-,1362001801
1.3.6.20.31.00-8,Títulos Privados - Renda Fixa,,-,1362031008
1.3.6.20.31.10-1,Saldo Contábil Bruto,,-,1362031101
1.3.6.20.31.40-0,(-) Perda Incorrida Associada ao Risco de Crédito,,-,1362031400
1.3.6.20.31.60-6,(-) Perda Esperada Associada ao Risco de Crédito,,-,1362031606
1.3.6.20.31.70-9,(+/-) Ajuste de Hedge de Valor Justo,,-,1362031709
1.3.6.20.31.80-2,(+/-) Ajuste a Valor Justo,,-,1362031802
1.3.6.20.80.00-4,Títulos de Renda Variável,,-,1362080004
1.3.6.20.99.00-2,Outros,,-,1362099002
1.3.6.20.99.10-5,Saldo Contábil Bruto,,-,1362099105
1.3.6.20.99.40-4,(-) Perda Incorrida Associada ao Risco de Crédito,,-,1362099404
1.3.6.20.99.60-0,(-) Perda Esperada Associada ao Risco de Crédito,,-,1362099600
1.3.6.20.99.70-3,(+/-) Ajuste de Hedge de Valor Justo,,-,1362099703
1.3.6.20.99.80-6,(+/-) Ajuste a Valor Justo,,-,1362099806
1.3.6.25.00.00-3,TÍTULOS VINCULADOS A SALDOS EM CONTA PRÉ-PAGA,,130,1362500003
1.3.6.25.01.00-2,Títulos Vinculados a Saldos em Conta Pré-Paga,,-,1362501002
1.3.6.25.01.10-5,Saldo Contábil Bruto,,-,1362501105
1.3.6.25.01.40-4,(-) Perda Incorrida Associada ao Risco de Crédito,,-,1362501404
1.3.6.25.01.70-3,(+/-) Ajuste de Hedge de Valor Justo,,-,1362501703
1.3.6.25.01.80-6,(+/-) Ajuste a Valor Justo,,-,1362501806
1.3.7.00.00.00-7,Títulos Objeto de Operações Compromissadas com Livre Movimentação,,-,1370000007
1.3.7.10.00.00-6,TÍTULOS OBJETO DE OPERAÇÕES COMPROMISSADAS COM LIVRE MOVIMENTAÇÃO,,130,1371000006
1.3.7.10.01.00-5,Títulos Públicos Federais - No País,,-,1371001005
1.3.7.10.01.10-8,Saldo Contábil Bruto,,-,1371001108
1.3.7.10.01.40-7,(-) Perda Incorrida Associada ao Risco de Crédito,,-,1371001407
1.3.7.10.01.70-6,(+/-) Ajuste de Hedge de Valor Justo,,-,1371001706
1.3.7.10.01.80-9,(+/-) Ajuste a Valor Justo,,-,1371001809
1.3.7.10.90.00-9,Outros Títulos de Renda Fixa,,-,1371090009
1.3.7.10.90.10-2,Saldo Contábil Bruto,,-,1371090102
1.3.7.10.90.40-1,(-) Perda Incorrida Associada ao Risco de Crédito,,-,1371090401
1.3.7.10.90.60-7,(-) Perda Esperada Associada ao Risco de Crédito,,-,1371090607
1.3.7.10.90.70-0,(+/-) Ajuste de Hedge de Valor Justo,,-,1371090700
1.3.7.10.90.80-3,(+/-) Ajuste a Valor Justo,,-,1371090803
1.3.9.00.00.00-1,Vinculados a Operações de Empréstimos,,-,1390000001
1.3.9.10.00.00-0,ATIVOS FINANCEIROS EMPRESTADOS,,130,1391000000
1.3.9.10.01.00-9,Títulos Públicos Federais,,-,1391001009
1.3.9.10.01.10-2,Saldo Contábil Bruto,,-,1391001102
